record_id,region,region_cost_index,budget_level,food_category,meal_price_lkr,daily_food_price_lkr,data_origin
38,Uva Province,1.02,HIGH,Premium restaurant,5854.11,17562.32,reference-derived scenario
39,Uva Province,1.02,LOW,Local cafe,1148.65,3445.95,reference-derived scenario
40,Southern Province,1.2,MID,Tourist restaurant,2232.52,6697.55,reference-derived scenario
41,Eastern Province,1.02,HIGH,Luxury hotel dining,10772.69,32318.08,reference-derived scenario
42,Southern Province,1.2,HIGH,High-end seafood,6327.93,18983.78,reference-derived scenario
43,Upcountry / Central Highlands,1.08,MID,Tourist restaurant,2927.58,8782.74,reference-derived scenario
44,Upcountry / Central Highlands,1.08,MID,Hotel buffet / restaurant,2547.15,7641.46,reference-derived scenario
45,Southern Province,1.2,LOW,Local cafe,1106.18,3318.53,reference-derived scenario
46,Cultural Triangle / North Central,1.05,MID,Hotel buffet / restaurant,2307.96,6923.89,reference-derived scenario
47,Sabaragamuwa Province,1.0,LOW,Local cafe,899.22,2697.67,reference-derived scenario
48,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,3068.84,9206.53,reference-derived scenario
49,Northern Province,1.0,MID,Hotel buffet / restaurant,2615.4,7846.21,reference-derived scenario
50,Upcountry / Central Highlands,1.08,LOW,Local rice & curry,555.03,1665.08,reference-derived scenario
51,Sabaragamuwa Province,1.0,MID,Hotel buffet / restaurant,3502.93,10508.78,reference-derived scenario
52,Upcountry / Central Highlands,1.08,LOW,Street food,364.57,1093.72,reference-derived scenario
53,North Western Province,1.03,HIGH,Premium restaurant,4806.74,14420.23,reference-derived scenario
54,Sabaragamuwa Province,1.0,MID,Tourist restaurant,2612.76,7838.27,reference-derived scenario
55,Western Province,1.18,MID,Tourist restaurant,2190.01,6570.02,reference-derived scenario
56,Upcountry / Central Highlands,1.08,MID,Local restaurant,1434.02,4302.05,reference-derived scenario
57,Eastern Province,1.02,MID,Local restaurant,1381.47,4144.42,reference-derived scenario
58,Upcountry / Central Highlands,1.08,MID,Local restaurant,1172.22,3516.67,reference-derived scenario
59,Northern Province,1.0,MID,Local restaurant,1023.08,3069.24,reference-derived scenario
60,Uva Province,1.02,LOW,Local rice & curry,817.02,2451.07,reference-derived scenario
61,North Western Province,1.03,HIGH,High-end seafood,8246.48,24739.45,reference-derived scenario
62,Northern Province,1.0,MID,Tourist restaurant,2712.83,8138.48,reference-derived scenario
63,Cultural Triangle / North Central,1.05,LOW,Local rice & curry,640.12,1920.35,reference-derived scenario
64,Sabaragamuwa Province,1.0,MID,Hotel buffet / restaurant,2535.64,7606.91,reference-derived scenario
65,Upcountry / Central Highlands,1.08,LOW,Local cafe,1058.33,3174.98,reference-derived scenario
66,Uva Province,1.02,MID,Tourist restaurant,2308.61,6925.83,reference-derived scenario
67,Uva Province,1.02,LOW,Street food,399.3,1197.9,reference-derived scenario
68,Southern Province,1.2,HIGH,High-end seafood,9978.31,29934.94,reference-derived scenario
69,Uva Province,1.02,MID,Hotel buffet / restaurant,2950.3,8850.91,reference-derived scenario
70,Southern Province,1.2,MID,Tourist restaurant,2652.01,7956.02,reference-derived scenario
71,Northern Province,1.0,MID,Hotel buffet / restaurant,2868.62,8605.87,reference-derived scenario
72,Uva Province,1.02,LOW,Local cafe,905.36,2716.07,reference-derived scenario
73,North Western Province,1.03,HIGH,High-end seafood,7303.81,21911.43,reference-derived scenario
74,North Western Province,1.03,LOW,Street food,387.99,1163.98,reference-derived scenario
75,Uva Province,1.02,LOW,Street food,454.78,1364.35,reference-derived scenario
76,Cultural Triangle / North Central,1.05,LOW,Street food,344.48,1033.45,reference-derived scenario
77,Uva Province,1.02,LOW,Local cafe,963.08,2889.24,reference-derived scenario
78,Northern Province,1.0,MID,Tourist restaurant,2649.72,7949.15,reference-derived scenario
79,Upcountry / Central Highlands,1.08,HIGH,Luxury hotel dining,11130.48,33391.43,reference-derived scenario
80,Uva Province,1.02,LOW,Street food,401.04,1203.13,reference-derived scenario
81,Northern Province,1.0,LOW,Local cafe,719.29,2157.88,reference-derived scenario
82,North Western Province,1.03,MID,Hotel buffet / restaurant,3643.68,10931.05,reference-derived scenario
83,Sabaragamuwa Province,1.0,LOW,Local cafe,877.71,2633.13,reference-derived scenario
84,Northern Province,1.0,HIGH,Luxury hotel dining,7577.41,22732.23,reference-derived scenario
85,Western Province,1.18,HIGH,Luxury hotel dining,8419.78,25259.35,reference-derived scenario
86,Sabaragamuwa Province,1.0,LOW,Local rice & curry,705.05,2115.14,reference-derived scenario
87,North Western Province,1.03,MID,Tourist restaurant,2684.53,8053.59,reference-derived scenario
88,Sabaragamuwa Province,1.0,LOW,Local rice & curry,811.51,2434.52,reference-derived scenario
89,Cultural Triangle / North Central,1.05,LOW,Local rice & curry,630.59,1891.77,reference-derived scenario
90,Northern Province,1.0,MID,Local restaurant,936.18,2808.55,reference-derived scenario
91,Sabaragamuwa Province,1.0,LOW,Street food,319.18,957.55,reference-derived scenario
92,Upcountry / Central Highlands,1.08,MID,Hotel buffet / restaurant,2511.43,7534.3,reference-derived scenario
93,Uva Province,1.02,LOW,Local rice & curry,839.58,2518.75,reference-derived scenario
94,Southern Province,1.2,MID,Hotel buffet / restaurant,3695.02,11085.07,reference-derived scenario
95,Eastern Province,1.02,MID,Local restaurant,1462.64,4387.91,reference-derived scenario
96,North Western Province,1.03,HIGH,Premium restaurant,4914.7,14744.1,reference-derived scenario
97,Eastern Province,1.02,HIGH,High-end seafood,6962.4,20887.21,reference-derived scenario
98,Uva Province,1.02,LOW,Local cafe,722.58,2167.73,reference-derived scenario
99,Eastern Province,1.02,HIGH,Luxury hotel dining,7957.51,23872.53,reference-derived scenario
100,Western Province,1.18,LOW,Local cafe,961.42,2884.27,reference-derived scenario
101,Sabaragamuwa Province,1.0,HIGH,Luxury hotel dining,11496.38,34489.15,reference-derived scenario
102,Upcountry / Central Highlands,1.08,MID,Tourist restaurant,2285.25,6855.76,reference-derived scenario
103,Northern Province,1.0,MID,Tourist restaurant,2893.1,8679.29,reference-derived scenario
104,Southern Province,1.2,MID,Hotel buffet / restaurant,4164.06,12492.18,reference-derived scenario
105,Uva Province,1.02,LOW,Local cafe,1154.52,3463.57,reference-derived scenario
106,Cultural Triangle / North Central,1.05,HIGH,High-end seafood,5605.05,16815.15,reference-derived scenario
107,Upcountry / Central Highlands,1.08,HIGH,Premium restaurant,5231.42,15694.27,reference-derived scenario
108,Uva Province,1.02,HIGH,Luxury hotel dining,9900.8,29702.41,reference-derived scenario
109,Northern Province,1.0,HIGH,High-end seafood,7600.09,22800.26,reference-derived scenario
110,Sabaragamuwa Province,1.0,MID,Local restaurant,1420.03,4260.1,reference-derived scenario
111,Sabaragamuwa Province,1.0,LOW,Local rice & curry,694.29,2082.88,reference-derived scenario
112,Uva Province,1.02,MID,Hotel buffet / restaurant,2303.01,6909.03,reference-derived scenario
113,Cultural Triangle / North Central,1.05,HIGH,High-end seafood,7869.87,23609.62,reference-derived scenario
114,North Western Province,1.03,LOW,Local cafe,794.75,2384.24,reference-derived scenario
115,Eastern Province,1.02,LOW,Street food,332.43,997.29,reference-derived scenario
116,Uva Province,1.02,LOW,Street food,422.48,1267.45,reference-derived scenario
117,Sabaragamuwa Province,1.0,LOW,Local rice & curry,711.47,2134.4,reference-derived scenario
118,Southern Province,1.2,HIGH,Luxury hotel dining,10463.18,31389.55,reference-derived scenario
119,Uva Province,1.02,HIGH,Luxury hotel dining,7767.46,23302.39,reference-derived scenario
120,North Western Province,1.03,HIGH,High-end seafood,8006.55,24019.66,reference-derived scenario
121,North Western Province,1.03,LOW,Local rice & curry,646.9,1940.7,reference-derived scenario
122,Western Province,1.18,MID,Local restaurant,1353.75,4061.24,reference-derived scenario
123,Southern Province,1.2,MID,Hotel buffet / restaurant,3274.25,9822.76,reference-derived scenario
124,Northern Province,1.0,LOW,Local cafe,984.95,2954.85,reference-derived scenario
125,Uva Province,1.02,MID,Hotel buffet / restaurant,3248.28,9744.85,reference-derived scenario
126,Upcountry / Central Highlands,1.08,LOW,Street food,456.49,1369.47,reference-derived scenario
127,Sabaragamuwa Province,1.0,HIGH,High-end seafood,7035.75,21107.24,reference-derived scenario
128,Upcountry / Central Highlands,1.08,LOW,Local rice & curry,641.38,1924.15,reference-derived scenario
129,Western Province,1.18,MID,Local restaurant,1246.11,3738.34,reference-derived scenario
130,Upcountry / Central Highlands,1.08,HIGH,High-end seafood,8235.62,24706.85,reference-derived scenario
131,Sabaragamuwa Province,1.0,LOW,Street food,413.84,1241.53,reference-derived scenario
132,Western Province,1.18,HIGH,Luxury hotel dining,9105.24,27315.72,reference-derived scenario
133,Southern Province,1.2,LOW,Street food,446.71,1340.14,reference-derived scenario
134,Northern Province,1.0,MID,Tourist restaurant,2735.89,8207.66,reference-derived scenario
135,Western Province,1.18,LOW,Street food,367.93,1103.8,reference-derived scenario
136,Southern Province,1.2,LOW,Local cafe,1127.76,3383.27,reference-derived scenario
137,Sabaragamuwa Province,1.0,HIGH,High-end seafood,7666.6,22999.81,reference-derived scenario
138,Southern Province,1.2,LOW,Local rice & curry,839.59,2518.77,reference-derived scenario
139,Eastern Province,1.02,MID,Hotel buffet / restaurant,3589.92,10769.76,reference-derived scenario
140,Western Province,1.18,MID,Local restaurant,1685.7,5057.09,reference-derived scenario
141,Western Province,1.18,HIGH,High-end seafood,8670.21,26010.63,reference-derived scenario
142,Eastern Province,1.02,LOW,Street food,447.73,1343.19,reference-derived scenario
143,Southern Province,1.2,LOW,Street food,383.67,1151.01,reference-derived scenario
144,Northern Province,1.0,MID,Hotel buffet / restaurant,2811.09,8433.27,reference-derived scenario
145,North Western Province,1.03,HIGH,High-end seafood,8203.56,24610.67,reference-derived scenario
146,Western Province,1.18,HIGH,Luxury hotel dining,9663.52,28990.57,reference-derived scenario
147,Western Province,1.18,LOW,Local rice & curry,855.08,2565.24,reference-derived scenario
148,Northern Province,1.0,MID,Tourist restaurant,2899.99,8699.97,reference-derived scenario
149,Western Province,1.18,MID,Hotel buffet / restaurant,4217.73,12653.18,reference-derived scenario
150,Uva Province,1.02,LOW,Local rice & curry,701.05,2103.14,reference-derived scenario
151,Cultural Triangle / North Central,1.05,HIGH,High-end seafood,7512.84,22538.51,reference-derived scenario
152,Upcountry / Central Highlands,1.08,LOW,Street food,328.72,986.15,reference-derived scenario
153,Northern Province,1.0,LOW,Local cafe,786.11,2358.34,reference-derived scenario
154,Northern Province,1.0,LOW,Street food,290.98,872.93,reference-derived scenario
155,North Western Province,1.03,HIGH,High-end seafood,5940.66,17821.99,reference-derived scenario
156,Upcountry / Central Highlands,1.08,HIGH,High-end seafood,8702.65,26107.94,reference-derived scenario
157,Southern Province,1.2,LOW,Local cafe,1051.2,3153.61,reference-derived scenario
158,North Western Province,1.03,LOW,Local rice & curry,646.25,1938.75,reference-derived scenario
159,North Western Province,1.03,HIGH,Luxury hotel dining,8365.1,25095.29,reference-derived scenario
160,Upcountry / Central Highlands,1.08,HIGH,Premium restaurant,5666.27,16998.82,reference-derived scenario
161,Sabaragamuwa Province,1.0,MID,Local restaurant,1261.46,3784.37,reference-derived scenario
162,Eastern Province,1.02,HIGH,Luxury hotel dining,8473.29,25419.86,reference-derived scenario
163,Northern Province,1.0,LOW,Local cafe,836.7,2510.11,reference-derived scenario
164,North Western Province,1.03,MID,Hotel buffet / restaurant,2363.03,7089.09,reference-derived scenario
165,Northern Province,1.0,LOW,Local rice & curry,811.33,2433.98,reference-derived scenario
166,Upcountry / Central Highlands,1.08,MID,Local restaurant,1469.41,4408.23,reference-derived scenario
167,Cultural Triangle / North Central,1.05,HIGH,Luxury hotel dining,10392.3,31176.91,reference-derived scenario
168,North Western Province,1.03,HIGH,Luxury hotel dining,11225.46,33676.38,reference-derived scenario
169,Western Province,1.18,MID,Hotel buffet / restaurant,3843.29,11529.87,reference-derived scenario
170,Eastern Province,1.02,HIGH,High-end seafood,7016.21,21048.63,reference-derived scenario
171,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,2333.65,7000.94,reference-derived scenario
172,Uva Province,1.02,HIGH,Premium restaurant,5172.36,15517.07,reference-derived scenario
173,Northern Province,1.0,LOW,Local rice & curry,644.62,1933.85,reference-derived scenario
174,North Western Province,1.03,LOW,Street food,316.93,950.79,reference-derived scenario
175,Sabaragamuwa Province,1.0,LOW,Street food,312.91,938.73,reference-derived scenario
176,Southern Province,1.2,MID,Hotel buffet / restaurant,3394.83,10184.49,reference-derived scenario
177,North Western Province,1.03,MID,Local restaurant,1475.55,4426.65,reference-derived scenario
178,Northern Province,1.0,LOW,Local rice & curry,803.42,2410.26,reference-derived scenario
179,Western Province,1.18,HIGH,Premium restaurant,5868.2,17604.6,reference-derived scenario
180,Northern Province,1.0,LOW,Local rice & curry,586.24,1758.73,reference-derived scenario
181,Sabaragamuwa Province,1.0,MID,Tourist restaurant,2050.7,6152.09,reference-derived scenario
182,Upcountry / Central Highlands,1.08,MID,Tourist restaurant,1950.21,5850.63,reference-derived scenario
183,Eastern Province,1.02,MID,Hotel buffet / restaurant,2852.64,8557.92,reference-derived scenario
184,Uva Province,1.02,HIGH,Premium restaurant,5072.64,15217.93,reference-derived scenario
185,Cultural Triangle / North Central,1.05,LOW,Local cafe,1017.91,3053.73,reference-derived scenario
186,Uva Province,1.02,HIGH,Premium restaurant,4316.96,12950.88,reference-derived scenario
187,Cultural Triangle / North Central,1.05,LOW,Street food,431.35,1294.06,reference-derived scenario
188,Sabaragamuwa Province,1.0,MID,Tourist restaurant,1963.97,5891.9,reference-derived scenario
189,Northern Province,1.0,LOW,Local rice & curry,785.22,2355.65,reference-derived scenario
190,North Western Province,1.03,HIGH,High-end seafood,5409.25,16227.76,reference-derived scenario
191,Western Province,1.18,LOW,Local rice & curry,683.01,2049.04,reference-derived scenario
192,Eastern Province,1.02,LOW,Local rice & curry,632.17,1896.5,reference-derived scenario
193,Eastern Province,1.02,LOW,Street food,390.13,1170.4,reference-derived scenario
194,Uva Province,1.02,LOW,Local rice & curry,844.3,2532.89,reference-derived scenario
195,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,3077.55,9232.64,reference-derived scenario
196,Eastern Province,1.02,LOW,Local rice & curry,571.25,1713.74,reference-derived scenario
197,Eastern Province,1.02,LOW,Local rice & curry,659.35,1978.06,reference-derived scenario
198,Uva Province,1.02,MID,Hotel buffet / restaurant,2921.01,8763.04,reference-derived scenario
199,Sabaragamuwa Province,1.0,HIGH,Luxury hotel dining,10166.38,30499.15,reference-derived scenario
200,Cultural Triangle / North Central,1.05,MID,Local restaurant,1049.63,3148.89,reference-derived scenario
201,Eastern Province,1.02,LOW,Local rice & curry,614.32,1842.95,reference-derived scenario
202,Southern Province,1.2,LOW,Local rice & curry,617.1,1851.31,reference-derived scenario
203,Upcountry / Central Highlands,1.08,LOW,Local rice & curry,641.6,1924.81,reference-derived scenario
204,Western Province,1.18,MID,Local restaurant,1739.42,5218.27,reference-derived scenario
205,Northern Province,1.0,MID,Tourist restaurant,2772.72,8318.16,reference-derived scenario
206,Cultural Triangle / North Central,1.05,MID,Local restaurant,1304.52,3913.57,reference-derived scenario
207,Southern Province,1.2,LOW,Local cafe,854.51,2563.53,reference-derived scenario
208,Eastern Province,1.02,MID,Local restaurant,1033.48,3100.43,reference-derived scenario
209,Uva Province,1.02,HIGH,Luxury hotel dining,7911.79,23735.36,reference-derived scenario
210,Northern Province,1.0,LOW,Street food,375.44,1126.31,reference-derived scenario
211,North Western Province,1.03,LOW,Local rice & curry,659.79,1979.38,reference-derived scenario
212,Northern Province,1.0,MID,Hotel buffet / restaurant,2384.79,7154.38,reference-derived scenario
213,Eastern Province,1.02,MID,Hotel buffet / restaurant,2894.24,8682.71,reference-derived scenario
214,Eastern Province,1.02,HIGH,Luxury hotel dining,10271.86,30815.57,reference-derived scenario
215,North Western Province,1.03,LOW,Local cafe,910.6,2731.81,reference-derived scenario
216,Uva Province,1.02,MID,Hotel buffet / restaurant,2862.41,8587.23,reference-derived scenario
217,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,2805.97,8417.9,reference-derived scenario
218,Uva Province,1.02,MID,Local restaurant,1382.47,4147.4,reference-derived scenario
219,Northern Province,1.0,MID,Tourist restaurant,2032.02,6096.06,reference-derived scenario
220,Western Province,1.18,LOW,Street food,483.95,1451.85,reference-derived scenario
221,Uva Province,1.02,HIGH,High-end seafood,5522.2,16566.6,reference-derived scenario
222,North Western Province,1.03,MID,Hotel buffet / restaurant,2953.5,8860.51,reference-derived scenario
223,Western Province,1.18,LOW,Local rice & curry,800.67,2402.02,reference-derived scenario
224,Uva Province,1.02,LOW,Local rice & curry,634.7,1904.11,reference-derived scenario
225,Cultural Triangle / North Central,1.05,LOW,Street food,396.92,1190.77,reference-derived scenario
226,Eastern Province,1.02,HIGH,High-end seafood,5212.5,15637.5,reference-derived scenario
227,Upcountry / Central Highlands,1.08,LOW,Local cafe,907.38,2722.15,reference-derived scenario
228,Upcountry / Central Highlands,1.08,LOW,Local cafe,815.32,2445.96,reference-derived scenario
229,North Western Province,1.03,MID,Hotel buffet / restaurant,3548.24,10644.72,reference-derived scenario
230,Northern Province,1.0,LOW,Local cafe,1061.99,3185.96,reference-derived scenario
231,Uva Province,1.02,LOW,Local rice & curry,797.96,2393.89,reference-derived scenario
232,Eastern Province,1.02,MID,Tourist restaurant,2643.24,7929.71,reference-derived scenario
233,North Western Province,1.03,LOW,Local cafe,908.57,2725.72,reference-derived scenario
234,Eastern Province,1.02,LOW,Local cafe,1162.62,3487.87,reference-derived scenario
235,Upcountry / Central Highlands,1.08,HIGH,Luxury hotel dining,10479.72,31439.16,reference-derived scenario
236,Cultural Triangle / North Central,1.05,MID,Tourist restaurant,2391.95,7175.86,reference-derived scenario
237,Eastern Province,1.02,HIGH,High-end seafood,7785.56,23356.68,reference-derived scenario
238,Eastern Province,1.02,HIGH,Premium restaurant,5626.12,16878.35,reference-derived scenario
239,Sabaragamuwa Province,1.0,LOW,Local cafe,986.39,2959.17,reference-derived scenario
240,Cultural Triangle / North Central,1.05,LOW,Local cafe,912.24,2736.73,reference-derived scenario
241,Eastern Province,1.02,MID,Local restaurant,1494.66,4483.98,reference-derived scenario
242,Eastern Province,1.02,LOW,Street food,309.97,929.92,reference-derived scenario
243,Sabaragamuwa Province,1.0,LOW,Street food,312.72,938.17,reference-derived scenario
244,Uva Province,1.02,MID,Tourist restaurant,2896.38,8689.15,reference-derived scenario
245,Uva Province,1.02,LOW,Local cafe,1103.55,3310.66,reference-derived scenario
246,Upcountry / Central Highlands,1.08,MID,Hotel buffet / restaurant,3466.99,10400.98,reference-derived scenario
247,Uva Province,1.02,HIGH,High-end seafood,8457.29,25371.86,reference-derived scenario
248,Southern Province,1.2,LOW,Local cafe,1007.34,3022.03,reference-derived scenario
249,Eastern Province,1.02,LOW,Street food,324.93,974.8,reference-derived scenario
250,Sabaragamuwa Province,1.0,MID,Local restaurant,1379.03,4137.09,reference-derived scenario
251,Sabaragamuwa Province,1.0,MID,Local restaurant,1191.94,3575.82,reference-derived scenario
252,Eastern Province,1.02,LOW,Local cafe,1095.95,3287.86,reference-derived scenario
253,Cultural Triangle / North Central,1.05,LOW,Street food,431.97,1295.92,reference-derived scenario
254,Southern Province,1.2,MID,Tourist restaurant,2476.45,7429.36,reference-derived scenario
255,Uva Province,1.02,MID,Local restaurant,982.45,2947.36,reference-derived scenario
256,Sabaragamuwa Province,1.0,HIGH,Luxury hotel dining,10642.33,31926.99,reference-derived scenario
257,Cultural Triangle / North Central,1.05,LOW,Local rice & curry,849.27,2547.82,reference-derived scenario
258,Western Province,1.18,MID,Local restaurant,1445.22,4335.65,reference-derived scenario
259,Cultural Triangle / North Central,1.05,LOW,Street food,319.58,958.73,reference-derived scenario
260,Cultural Triangle / North Central,1.05,MID,Local restaurant,1246.69,3740.08,reference-derived scenario
261,Uva Province,1.02,MID,Hotel buffet / restaurant,2932.8,8798.39,reference-derived scenario
262,Uva Province,1.02,MID,Local restaurant,1085.89,3257.66,reference-derived scenario
263,Northern Province,1.0,HIGH,Luxury hotel dining,9411.38,28234.14,reference-derived scenario
264,North Western Province,1.03,LOW,Local cafe,856.03,2568.08,reference-derived scenario
265,Sabaragamuwa Province,1.0,LOW,Street food,306.21,918.62,reference-derived scenario
266,Cultural Triangle / North Central,1.05,LOW,Street food,440.3,1320.89,reference-derived scenario
267,North Western Province,1.03,LOW,Local cafe,1026.66,3079.97,reference-derived scenario
268,North Western Province,1.03,HIGH,Premium restaurant,3641.75,10925.24,reference-derived scenario
269,Western Province,1.18,MID,Hotel buffet / restaurant,3528.92,10586.75,reference-derived scenario
270,Uva Province,1.02,HIGH,Luxury hotel dining,9053.35,27160.04,reference-derived scenario
271,Southern Province,1.2,LOW,Local cafe,1084.33,3252.99,reference-derived scenario
272,Eastern Province,1.02,MID,Local restaurant,1399.64,4198.93,reference-derived scenario
273,Uva Province,1.02,MID,Local restaurant,1367.26,4101.79,reference-derived scenario
274,Northern Province,1.0,LOW,Street food,370.6,1111.8,reference-derived scenario
275,Eastern Province,1.02,LOW,Local rice & curry,633.05,1899.16,reference-derived scenario
276,North Western Province,1.03,LOW,Local cafe,1090.83,3272.48,reference-derived scenario
277,Northern Province,1.0,LOW,Street food,420.46,1261.39,reference-derived scenario
278,Northern Province,1.0,MID,Tourist restaurant,2217.54,6652.61,reference-derived scenario
279,Cultural Triangle / North Central,1.05,LOW,Local cafe,968.26,2904.79,reference-derived scenario
280,Upcountry / Central Highlands,1.08,HIGH,Premium restaurant,5014.97,15044.91,reference-derived scenario
281,Northern Province,1.0,HIGH,Luxury hotel dining,9496.02,28488.07,reference-derived scenario
282,Southern Province,1.2,MID,Tourist restaurant,2626.46,7879.38,reference-derived scenario
283,Sabaragamuwa Province,1.0,LOW,Local rice & curry,704.93,2114.78,reference-derived scenario
284,Eastern Province,1.02,MID,Hotel buffet / restaurant,2885.32,8655.95,reference-derived scenario
285,Western Province,1.18,MID,Tourist restaurant,2877.7,8633.11,reference-derived scenario
286,Southern Province,1.2,HIGH,High-end seafood,8157.95,24473.86,reference-derived scenario
287,Western Province,1.18,LOW,Local rice & curry,771.1,2313.31,reference-derived scenario
288,Upcountry / Central Highlands,1.08,LOW,Street food,363.82,1091.47,reference-derived scenario
289,North Western Province,1.03,LOW,Street food,349.95,1049.84,reference-derived scenario
290,Sabaragamuwa Province,1.0,MID,Hotel buffet / restaurant,3568.87,10706.6,reference-derived scenario
291,North Western Province,1.03,LOW,Local rice & curry,524.91,1574.73,reference-derived scenario
292,Cultural Triangle / North Central,1.05,LOW,Local cafe,856.54,2569.62,reference-derived scenario
293,Northern Province,1.0,LOW,Street food,341.96,1025.87,reference-derived scenario
294,Southern Province,1.2,MID,Hotel buffet / restaurant,3579.69,10739.08,reference-derived scenario
295,Southern Province,1.2,LOW,Local rice & curry,738.72,2216.17,reference-derived scenario
296,Eastern Province,1.02,LOW,Local rice & curry,629.49,1888.46,reference-derived scenario
297,Southern Province,1.2,HIGH,Luxury hotel dining,10785.41,32356.22,reference-derived scenario
298,North Western Province,1.03,LOW,Local rice & curry,579.98,1739.93,reference-derived scenario
299,Cultural Triangle / North Central,1.05,MID,Local restaurant,1478.75,4436.26,reference-derived scenario
300,Upcountry / Central Highlands,1.08,LOW,Street food,384.36,1153.09,reference-derived scenario
301,Sabaragamuwa Province,1.0,LOW,Street food,310.76,932.27,reference-derived scenario
302,Sabaragamuwa Province,1.0,LOW,Local rice & curry,589.19,1767.56,reference-derived scenario
303,Uva Province,1.02,MID,Hotel buffet / restaurant,2472.39,7417.16,reference-derived scenario
304,Eastern Province,1.02,LOW,Local cafe,1009.2,3027.6,reference-derived scenario
305,Sabaragamuwa Province,1.0,HIGH,Premium restaurant,5071.62,15214.86,reference-derived scenario
306,Sabaragamuwa Province,1.0,HIGH,Premium restaurant,5698.02,17094.05,reference-derived scenario
307,Northern Province,1.0,LOW,Street food,421.12,1263.35,reference-derived scenario
308,North Western Province,1.03,MID,Local restaurant,1394.63,4183.89,reference-derived scenario
309,Southern Province,1.2,HIGH,Premium restaurant,5758.42,17275.26,reference-derived scenario
310,Sabaragamuwa Province,1.0,MID,Tourist restaurant,2254.44,6763.33,reference-derived scenario
311,Northern Province,1.0,MID,Local restaurant,1521.85,4565.54,reference-derived scenario
