record_id,budget_level,travellers,transport_mode,route_distance_km,public_transport_coverage,estimated_transport_cost_lkr,data_origin
32,LOW,15,Public transport + Van - Uber/PickMe,755.3,0.866,66508.39,reference-derived scenario
33,HIGH,15,Private driver + Van,3.16,0.0,521.33,reference-derived scenario
34,LOW,11,Public transport + Van - Uber/PickMe,747.71,0.913,48106.69,reference-derived scenario
35,LOW,20,Public transport + 2 Vans - Uber/PickMe,511.31,0.527,105614.62,reference-derived scenario
36,MID,17,2 Vans - Uber/PickMe,189.85,0.0,65640.67,reference-derived scenario
37,MID,9,Public transport + Van - Uber/PickMe,21.44,0.763,3219.55,reference-derived scenario
38,HIGH,8,Public transport + Van - Uber/PickMe,732.04,0.617,63189.26,reference-derived scenario
39,MID,11,Public transport + Van - Uber/PickMe,688.66,0.614,72545.96,reference-derived scenario
40,LOW,14,Public transport + 2 Minivans - Uber/PickMe,95.83,0.439,18986.79,reference-derived scenario
41,LOW,16,Public transport + 2 Vans - Uber/PickMe,41.44,0.55,12371.47,reference-derived scenario
42,HIGH,14,Private driver + 2 Minivans,497.89,0.0,120039.71,reference-derived scenario
43,LOW,15,Public transport + Van - Uber/PickMe,819.79,0.486,111545.63,reference-derived scenario
44,HIGH,11,Private driver + Van,787.45,0.0,145422.16,reference-derived scenario
45,MID,4,Tuk/Taxi - Uber/PickMe,827.69,0.0,79286.88,reference-derived scenario
46,LOW,20,Public transport + 2 Vans - Uber/PickMe,619.0,0.449,143836.58,reference-derived scenario
47,HIGH,3,Public transport + Van - Uber/PickMe,44.34,0.576,5145.46,reference-derived scenario
48,MID,5,Public transport + Van - Uber/PickMe,415.3,0.85,20785.44,reference-derived scenario
49,MID,11,Van - Uber/PickMe,6.88,0.0,2411.79,reference-derived scenario
50,LOW,8,Public transport + Van - Uber/PickMe,724.87,0.756,49018.67,reference-derived scenario
51,MID,8,Public transport + Van - Uber/PickMe,278.24,0.562,28526.13,reference-derived scenario
52,LOW,4,Public transport + Tuk/Taxi,809.27,0.62,42496.32,reference-derived scenario
53,LOW,12,Public transport + Van - Uber/PickMe,216.43,0.771,21424.91,reference-derived scenario
54,MID,11,Public transport + Van - Uber/PickMe,158.41,0.359,20680.39,reference-derived scenario
55,MID,20,2 Vans - Uber/PickMe,834.04,0.0,303091.57,reference-derived scenario
56,LOW,6,Public transport + Minivan - Uber/PickMe,485.33,0.878,21071.07,reference-derived scenario
57,LOW,3,Public transport + Tuk/Taxi,843.88,0.447,41654.12,reference-derived scenario
58,LOW,9,Public transport + Van - Uber/PickMe,741.68,0.732,56291.29,reference-derived scenario
59,HIGH,16,Private driver + 2 Vans,632.46,0.0,208835.17,reference-derived scenario
60,MID,19,2 Vans - Uber/PickMe,143.88,0.0,57438.05,reference-derived scenario
61,LOW,14,Public transport + 2 Minivans - Uber/PickMe,742.23,0.558,116269.94,reference-derived scenario
62,MID,18,2 Vans - Uber/PickMe,132.74,0.0,53493.87,reference-derived scenario
63,HIGH,10,Public transport + Van - Uber/PickMe,697.35,0.811,49843.7,reference-derived scenario
64,LOW,11,Public transport + Van - Uber/PickMe,876.35,0.822,67840.4,reference-derived scenario
65,MID,11,Van - Uber/PickMe,63.44,0.0,11596.79,reference-derived scenario
66,MID,17,Public transport + 2 Vans - Uber/PickMe,615.04,0.902,70642.4,reference-derived scenario
67,LOW,7,Public transport + Minivan - Uber/PickMe,737.76,0.568,48858.2,reference-derived scenario
68,LOW,8,Public transport + Van - Uber/PickMe,46.73,0.475,6420.36,reference-derived scenario
69,HIGH,4,Private driver + Car,511.86,0.0,72024.81,reference-derived scenario
70,HIGH,14,Private driver + Van,277.02,0.0,53144.38,reference-derived scenario
71,MID,5,Van - Uber/PickMe,295.12,0.0,55450.7,reference-derived scenario
72,HIGH,10,Public transport + Van - Uber/PickMe,44.08,0.89,4436.44,reference-derived scenario
73,HIGH,20,Public transport + 2 Vans - Uber/PickMe,259.0,0.853,39535.86,reference-derived scenario
74,MID,13,Public transport + Van - Uber/PickMe,713.15,0.597,77946.83,reference-derived scenario
75,HIGH,3,Public transport + Van - Uber/PickMe,118.29,0.79,6673.47,reference-derived scenario
76,HIGH,7,Private driver + Minivan,589.85,0.0,75905.99,reference-derived scenario
77,MID,3,Public transport + Van - Uber/PickMe,906.09,0.799,47321.25,reference-derived scenario
78,MID,14,Public transport + 2 Minivans - Uber/PickMe,895.89,0.448,137420.42,reference-derived scenario
79,MID,4,Public transport + Minivan - Uber/PickMe,23.57,0.878,1685.68,reference-derived scenario
80,MID,20,Public transport + 2 Vans - Uber/PickMe,474.88,0.585,107114.57,reference-derived scenario
81,MID,5,Public transport + Minivan - Uber/PickMe,577.74,0.652,35183.25,reference-derived scenario
82,MID,3,Minivan - Uber/PickMe,562.38,0.0,72826.74,reference-derived scenario
83,LOW,1,Public transport + Minivan - Uber/PickMe,658.43,0.76,22039.66,reference-derived scenario
84,LOW,19,Public transport + 2 Vans - Uber/PickMe,506.14,0.743,79441.16,reference-derived scenario
85,MID,13,Van - Uber/PickMe,625.1,0.0,109813.6,reference-derived scenario
86,HIGH,15,Private driver + Van,112.24,0.0,20555.8,reference-derived scenario
87,MID,15,Van - Uber/PickMe,137.54,0.0,25278.28,reference-derived scenario
88,LOW,11,Public transport + Van - Uber/PickMe,207.64,0.926,13793.93,reference-derived scenario
89,LOW,9,Public transport + Van - Uber/PickMe,80.22,0.912,6030.62,reference-derived scenario
90,MID,16,Public transport + 2 Vans - Uber/PickMe,555.9,0.753,86216.01,reference-derived scenario
91,HIGH,19,Public transport + 2 Vans - Uber/PickMe,329.04,0.377,89903.54,reference-derived scenario
92,MID,18,Public transport + 2 Vans - Uber/PickMe,838.38,0.435,199578.03,reference-derived scenario
93,LOW,17,Public transport + 2 Vans - Uber/PickMe,704.43,0.538,147510.53,reference-derived scenario
94,LOW,1,Public transport + Van - Uber/PickMe,672.46,0.402,76700.0,reference-derived scenario
95,MID,14,Public transport + 2 Minivans - Uber/PickMe,822.14,0.717,92691.78,reference-derived scenario
96,MID,15,Public transport + Van - Uber/PickMe,253.32,0.795,26130.87,reference-derived scenario
97,MID,10,Van - Uber/PickMe,418.96,0.0,81717.09,reference-derived scenario
98,HIGH,2,Minivan - Uber/PickMe,557.21,0.0,65827.79,reference-derived scenario
99,LOW,16,Public transport + 2 Vans - Uber/PickMe,832.45,0.911,92291.78,reference-derived scenario
100,HIGH,4,Tuk/Taxi - Uber/PickMe,143.56,0.0,15471.4,reference-derived scenario
101,MID,15,Public transport + Van - Uber/PickMe,930.86,0.927,70891.02,reference-derived scenario
102,LOW,13,Public transport + Van - Uber/PickMe,660.89,0.474,84325.74,reference-derived scenario
103,MID,6,Public transport + Minivan - Uber/PickMe,260.74,0.592,19444.43,reference-derived scenario
104,MID,16,2 Vans - Uber/PickMe,648.57,0.0,223458.51,reference-derived scenario
105,HIGH,12,Public transport + Van - Uber/PickMe,7.43,0.731,2409.04,reference-derived scenario
106,LOW,20,Public transport + 2 Vans - Uber/PickMe,771.89,0.489,190927.57,reference-derived scenario
107,LOW,20,Public transport + 2 Vans - Uber/PickMe,675.31,0.375,187774.52,reference-derived scenario
108,HIGH,4,Tuk/Taxi - Uber/PickMe,443.9,0.0,44996.59,reference-derived scenario
109,LOW,14,Public transport + 2 Minivans - Uber/PickMe,63.75,0.582,11559.14,reference-derived scenario
110,LOW,16,Public transport + 2 Vans - Uber/PickMe,827.42,0.789,112894.74,reference-derived scenario
111,MID,5,Public transport + Minivan - Uber/PickMe,482.89,0.626,29776.82,reference-derived scenario
112,MID,14,2 Minivans - Uber/PickMe,419.01,0.0,106296.29,reference-derived scenario
113,HIGH,17,2 Vans - Uber/PickMe,342.68,0.0,125449.17,reference-derived scenario
114,MID,15,Van - Uber/PickMe,389.73,0.0,68477.54,reference-derived scenario
115,LOW,1,Public transport + Minivan - Uber/PickMe,640.39,0.561,38655.82,reference-derived scenario
116,LOW,9,Public transport + Van - Uber/PickMe,251.41,0.463,31798.99,reference-derived scenario
117,LOW,20,Public transport + 2 Vans - Uber/PickMe,456.55,0.417,109109.78,reference-derived scenario
118,MID,11,Van - Uber/PickMe,555.26,0.0,106132.91,reference-derived scenario
119,MID,9,Public transport + Van - Uber/PickMe,882.07,0.57,85739.15,reference-derived scenario
120,MID,14,2 Minivans - Uber/PickMe,585.6,0.0,132250.38,reference-derived scenario
121,LOW,17,Public transport + 2 Vans - Uber/PickMe,933.15,0.763,142288.03,reference-derived scenario
122,LOW,18,Public transport + 2 Vans - Uber/PickMe,330.98,0.85,41319.48,reference-derived scenario
123,LOW,3,Public transport + Tuk/Taxi,473.86,0.841,12203.16,reference-derived scenario
124,MID,15,Public transport + Van - Uber/PickMe,422.64,0.436,58407.06,reference-derived scenario
125,HIGH,17,2 Vans - Uber/PickMe,911.88,0.0,339412.04,reference-derived scenario
126,HIGH,6,Van - Uber/PickMe,472.72,0.0,82968.19,reference-derived scenario
127,HIGH,13,Private driver + Van,200.53,0.0,37851.53,reference-derived scenario
128,MID,20,Public transport + 2 Vans - Uber/PickMe,163.75,0.401,43755.74,reference-derived scenario
129,LOW,6,Public transport + Van - Uber/PickMe,456.61,0.906,20271.22,reference-derived scenario
130,HIGH,9,Van - Uber/PickMe,403.02,0.0,69639.34,reference-derived scenario
131,LOW,16,Public transport + 2 Vans - Uber/PickMe,875.71,0.556,174884.01,reference-derived scenario
132,MID,6,Van - Uber/PickMe,734.33,0.0,122023.27,reference-derived scenario
133,MID,17,Public transport + 2 Vans - Uber/PickMe,417.22,0.919,41510.35,reference-derived scenario
134,HIGH,11,Private driver + Van,896.28,0.0,151765.24,reference-derived scenario
135,LOW,15,Public transport + Van - Uber/PickMe,833.19,0.493,100484.67,reference-derived scenario
136,MID,20,2 Vans - Uber/PickMe,813.88,0.0,314786.96,reference-derived scenario
137,LOW,10,Public transport + Van - Uber/PickMe,244.95,0.552,26892.0,reference-derived scenario
138,HIGH,3,Minivan - Uber/PickMe,84.65,0.0,11763.68,reference-derived scenario
139,MID,15,Van - Uber/PickMe,299.51,0.0,56456.75,reference-derived scenario
140,MID,1,Van - Uber/PickMe,786.71,0.0,141308.04,reference-derived scenario
141,MID,10,Van - Uber/PickMe,473.84,0.0,77725.11,reference-derived scenario
142,LOW,6,Public transport + Minivan - Uber/PickMe,753.28,0.651,46402.26,reference-derived scenario
143,MID,17,Public transport + 2 Vans - Uber/PickMe,186.8,0.445,47171.01,reference-derived scenario
144,HIGH,11,Public transport + Van - Uber/PickMe,510.73,0.651,49735.51,reference-derived scenario
145,MID,10,Public transport + Van - Uber/PickMe,727.22,0.418,91968.55,reference-derived scenario
146,LOW,8,Public transport + Van - Uber/PickMe,599.77,0.534,58560.5,reference-derived scenario
147,MID,3,Van - Uber/PickMe,320.92,0.0,54002.87,reference-derived scenario
148,MID,20,2 Vans - Uber/PickMe,452.49,0.0,158050.37,reference-derived scenario
149,MID,4,Public transport + Tuk/Taxi,50.24,0.417,4072.04,reference-derived scenario
150,MID,1,Van - Uber/PickMe,556.67,0.0,105779.78,reference-derived scenario
151,LOW,16,Public transport + 2 Vans - Uber/PickMe,217.74,0.519,51024.23,reference-derived scenario
152,MID,3,Van - Uber/PickMe,844.18,0.0,150068.36,reference-derived scenario
153,MID,14,Public transport + 2 Minivans - Uber/PickMe,501.81,0.444,78976.08,reference-derived scenario
154,MID,6,Van - Uber/PickMe,899.53,0.0,155535.74,reference-derived scenario
155,MID,11,Public transport + Van - Uber/PickMe,691.34,0.39,92015.08,reference-derived scenario
156,LOW,11,Public transport + Van - Uber/PickMe,116.3,0.49,15694.31,reference-derived scenario
157,MID,11,Public transport + Van - Uber/PickMe,463.99,0.547,48050.22,reference-derived scenario
158,HIGH,2,Minivan - Uber/PickMe,187.31,0.0,24293.75,reference-derived scenario
159,MID,15,Public transport + Van - Uber/PickMe,164.63,0.623,18398.89,reference-derived scenario
160,LOW,19,Public transport + 2 Vans - Uber/PickMe,557.83,0.913,62139.54,reference-derived scenario
161,MID,13,Van - Uber/PickMe,888.6,0.0,155478.99,reference-derived scenario
162,LOW,17,Public transport + 2 Vans - Uber/PickMe,315.51,0.604,60745.61,reference-derived scenario
163,LOW,2,Public transport + Van - Uber/PickMe,551.21,0.462,53243.48,reference-derived scenario
164,LOW,5,Public transport + Van - Uber/PickMe,930.53,0.38,112393.69,reference-derived scenario
165,HIGH,5,Public transport + Minivan - Uber/PickMe,42.39,0.773,2829.95,reference-derived scenario
166,MID,8,Public transport + Van - Uber/PickMe,273.18,0.745,21562.36,reference-derived scenario
167,LOW,15,Public transport + Van - Uber/PickMe,696.43,0.855,65562.94,reference-derived scenario
168,LOW,2,Public transport + Van - Uber/PickMe,775.29,0.466,83851.12,reference-derived scenario
169,HIGH,3,Public transport + Van - Uber/PickMe,104.58,0.575,10819.18,reference-derived scenario
170,MID,19,Public transport + 2 Vans - Uber/PickMe,432.13,0.727,79159.67,reference-derived scenario
171,HIGH,18,Private driver + 2 Vans,786.06,0.0,258037.95,reference-derived scenario
172,LOW,1,Public transport + Tuk/Taxi,794.17,0.866,12879.08,reference-derived scenario
173,HIGH,8,Private driver + Van,574.89,0.0,108933.89,reference-derived scenario
174,HIGH,15,Van - Uber/PickMe,404.97,0.0,77509.84,reference-derived scenario
175,MID,15,Van - Uber/PickMe,404.95,0.0,68314.28,reference-derived scenario
176,MID,17,2 Vans - Uber/PickMe,444.19,0.0,154945.97,reference-derived scenario
177,LOW,1,Public transport + Van - Uber/PickMe,919.42,0.691,49773.97,reference-derived scenario
178,LOW,14,Public transport + 2 Minivans - Uber/PickMe,707.99,0.408,117542.47,reference-derived scenario
179,MID,5,Public transport + Minivan - Uber/PickMe,820.4,0.451,67879.29,reference-derived scenario
180,LOW,14,Public transport + 2 Minivans - Uber/PickMe,6.37,0.849,2326.72,reference-derived scenario
181,HIGH,12,Public transport + Van - Uber/PickMe,438.77,0.659,44323.61,reference-derived scenario
182,HIGH,13,Public transport + Van - Uber/PickMe,66.76,0.628,8578.45,reference-derived scenario
183,MID,1,Minivan - Uber/PickMe,290.33,0.0,34082.6,reference-derived scenario
184,MID,2,Public transport + Minivan - Uber/PickMe,504.71,0.634,26811.46,reference-derived scenario
185,MID,15,Van - Uber/PickMe,172.77,0.0,34556.0,reference-derived scenario
186,MID,14,Public transport + 2 Minivans - Uber/PickMe,316.28,0.494,49622.81,reference-derived scenario
187,LOW,7,Public transport + Van - Uber/PickMe,631.9,0.563,67326.68,reference-derived scenario
188,MID,4,Van - Uber/PickMe,622.99,0.0,112615.76,reference-derived scenario
189,MID,19,2 Vans - Uber/PickMe,316.54,0.0,116377.47,reference-derived scenario
190,LOW,13,Public transport + Van - Uber/PickMe,175.01,0.882,14870.8,reference-derived scenario
191,LOW,11,Public transport + Van - Uber/PickMe,334.15,0.824,28175.61,reference-derived scenario
192,LOW,6,Public transport + Minivan - Uber/PickMe,620.78,0.801,27964.65,reference-derived scenario
193,HIGH,10,Public transport + Van - Uber/PickMe,947.51,0.485,118804.04,reference-derived scenario
194,LOW,18,Public transport + 2 Vans - Uber/PickMe,158.96,0.465,39707.28,reference-derived scenario
195,MID,4,Public transport + Minivan - Uber/PickMe,654.95,0.862,20410.12,reference-derived scenario
196,LOW,16,Public transport + 2 Vans - Uber/PickMe,584.81,0.558,117907.59,reference-derived scenario
197,MID,18,Public transport + 2 Vans - Uber/PickMe,311.81,0.524,71606.46,reference-derived scenario
198,HIGH,12,Public transport + Van - Uber/PickMe,4.56,0.677,2229.79,reference-derived scenario
199,HIGH,5,Public transport + Minivan - Uber/PickMe,186.19,0.543,13524.62,reference-derived scenario
200,LOW,15,Public transport + Van - Uber/PickMe,693.61,0.737,72054.75,reference-derived scenario
201,MID,5,Minivan - Uber/PickMe,818.02,0.0,103977.6,reference-derived scenario
202,HIGH,12,Public transport + Van - Uber/PickMe,870.39,0.753,77396.07,reference-derived scenario
203,MID,10,Public transport + Van - Uber/PickMe,850.11,0.375,104234.61,reference-derived scenario
204,MID,10,Van - Uber/PickMe,659.64,0.0,117760.31,reference-derived scenario
205,LOW,2,Public transport + Minivan - Uber/PickMe,534.4,0.54,35852.75,reference-derived scenario
206,MID,4,Public transport + Minivan - Uber/PickMe,531.73,0.499,39348.44,reference-derived scenario
207,LOW,16,Public transport + 2 Vans - Uber/PickMe,682.5,0.698,105209.5,reference-derived scenario
208,MID,8,Van - Uber/PickMe,486.61,0.0,89218.25,reference-derived scenario
209,HIGH,11,Private driver + Van,806.17,0.0,148296.99,reference-derived scenario
210,HIGH,17,Private driver + 2 Vans,410.1,0.0,138263.57,reference-derived scenario
211,LOW,20,Public transport + 2 Vans - Uber/PickMe,840.5,0.433,202945.22,reference-derived scenario
212,LOW,11,Public transport + Van - Uber/PickMe,9.09,0.717,2351.95,reference-derived scenario
213,HIGH,12,Van - Uber/PickMe,81.97,0.0,15296.08,reference-derived scenario
214,HIGH,10,Public transport + Van - Uber/PickMe,745.79,0.906,45994.0,reference-derived scenario
215,MID,17,2 Vans - Uber/PickMe,703.01,0.0,267852.28,reference-derived scenario
216,LOW,12,Public transport + Van - Uber/PickMe,38.36,0.374,7157.8,reference-derived scenario
217,HIGH,4,Private driver + Car,678.66,0.0,97793.7,reference-derived scenario
218,MID,20,Public transport + 2 Vans - Uber/PickMe,736.46,0.595,139666.22,reference-derived scenario
219,LOW,10,Public transport + Van - Uber/PickMe,848.83,0.602,88482.0,reference-derived scenario
220,MID,14,2 Minivans - Uber/PickMe,179.08,0.0,45337.11,reference-derived scenario
221,LOW,5,Public transport + Minivan - Uber/PickMe,823.19,0.471,59684.57,reference-derived scenario
222,HIGH,4,Public transport + Tuk/Taxi,764.18,0.352,56632.19,reference-derived scenario
223,HIGH,17,Public transport + 2 Vans - Uber/PickMe,376.15,0.896,46834.99,reference-derived scenario
224,HIGH,5,Van - Uber/PickMe,836.39,0.0,158288.93,reference-derived scenario
225,MID,4,Public transport + Minivan - Uber/PickMe,94.68,0.91,3201.74,reference-derived scenario
226,LOW,18,Public transport + 2 Vans - Uber/PickMe,737.18,0.617,151611.44,reference-derived scenario
227,LOW,3,Public transport + Van - Uber/PickMe,196.13,0.357,24319.49,reference-derived scenario
228,MID,12,Public transport + Van - Uber/PickMe,663.06,0.484,76962.25,reference-derived scenario
229,MID,2,Minivan - Uber/PickMe,583.6,0.0,68600.62,reference-derived scenario
230,HIGH,9,Public transport + Van - Uber/PickMe,949.49,0.731,76811.03,reference-derived scenario
231,LOW,14,Public transport + 2 Minivans - Uber/PickMe,621.67,0.359,112343.31,reference-derived scenario
232,HIGH,2,Public transport + Van - Uber/PickMe,200.67,0.565,16394.86,reference-derived scenario
233,MID,20,2 Vans - Uber/PickMe,776.52,0.0,286233.06,reference-derived scenario
234,MID,20,2 Vans - Uber/PickMe,439.11,0.0,161702.68,reference-derived scenario
235,LOW,3,Public transport + Van - Uber/PickMe,693.71,0.53,63835.54,reference-derived scenario
236,LOW,4,Public transport + Minivan - Uber/PickMe,182.72,0.366,16055.86,reference-derived scenario
237,MID,4,Tuk/Taxi - Uber/PickMe,880.3,0.0,86134.66,reference-derived scenario
238,MID,6,Public transport + Van - Uber/PickMe,871.35,0.593,82922.27,reference-derived scenario
239,LOW,9,Public transport + Van - Uber/PickMe,901.83,0.91,46226.4,reference-derived scenario
240,LOW,9,Public transport + Van - Uber/PickMe,7.17,0.941,2074.02,reference-derived scenario
241,MID,3,Minivan - Uber/PickMe,851.61,0.0,102449.4,reference-derived scenario
242,LOW,16,Public transport + 2 Vans - Uber/PickMe,603.3,0.609,116432.44,reference-derived scenario
243,LOW,10,Public transport + Van - Uber/PickMe,194.81,0.762,16553.17,reference-derived scenario
244,MID,5,Public transport + Van - Uber/PickMe,260.57,0.35,31066.09,reference-derived scenario
245,LOW,6,Public transport + Minivan - Uber/PickMe,273.35,0.746,15714.1,reference-derived scenario
246,LOW,20,Public transport + 2 Vans - Uber/PickMe,119.25,0.667,23123.91,reference-derived scenario
247,MID,11,Van - Uber/PickMe,639.34,0.0,121765.07,reference-derived scenario
248,LOW,12,Public transport + Van - Uber/PickMe,208.51,0.716,18736.71,reference-derived scenario
249,MID,3,Public transport + Tuk/Taxi,373.78,0.89,7789.04,reference-derived scenario
250,MID,9,Van - Uber/PickMe,584.26,0.0,102206.18,reference-derived scenario
251,LOW,7,Public transport + Minivan - Uber/PickMe,528.59,0.743,27625.61,reference-derived scenario
252,LOW,11,Public transport + Van - Uber/PickMe,753.99,0.44,90847.81,reference-derived scenario
253,LOW,2,Public transport + Minivan - Uber/PickMe,117.08,0.393,10287.98,reference-derived scenario
254,LOW,16,Public transport + 2 Vans - Uber/PickMe,65.09,0.873,9658.27,reference-derived scenario
255,LOW,14,Public transport + 2 Minivans - Uber/PickMe,196.57,0.561,30372.67,reference-derived scenario
256,MID,4,Public transport + Minivan - Uber/PickMe,238.97,0.674,13428.04,reference-derived scenario
257,MID,15,Van - Uber/PickMe,19.52,0.0,5109.07,reference-derived scenario
258,LOW,20,Public transport + 2 Vans - Uber/PickMe,569.3,0.717,106274.04,reference-derived scenario
259,MID,7,Minivan - Uber/PickMe,225.39,0.0,27079.35,reference-derived scenario
260,MID,20,Public transport + 2 Vans - Uber/PickMe,616.72,0.824,93754.86,reference-derived scenario
261,MID,19,Public transport + 2 Vans - Uber/PickMe,645.63,0.839,82195.36,reference-derived scenario
262,LOW,18,Public transport + 2 Vans - Uber/PickMe,48.25,0.52,14384.58,reference-derived scenario
263,MID,20,2 Vans - Uber/PickMe,906.13,0.0,330570.55,reference-derived scenario
264,HIGH,16,2 Vans - Uber/PickMe,181.05,0.0,65333.57,reference-derived scenario
265,MID,5,Van - Uber/PickMe,124.93,0.0,25272.53,reference-derived scenario
266,LOW,10,Public transport + Van - Uber/PickMe,337.37,0.784,28968.45,reference-derived scenario
267,LOW,4,Public transport + Minivan - Uber/PickMe,169.65,0.86,6263.07,reference-derived scenario
268,LOW,3,Public transport + Van - Uber/PickMe,784.44,0.585,71075.64,reference-derived scenario
269,LOW,9,Public transport + Van - Uber/PickMe,479.44,0.359,61601.33,reference-derived scenario
270,MID,20,2 Vans - Uber/PickMe,448.86,0.0,154136.35,reference-derived scenario
271,HIGH,13,Van - Uber/PickMe,772.23,0.0,148454.74,reference-derived scenario
272,LOW,9,Public transport + Van - Uber/PickMe,3.94,0.745,1974.05,reference-derived scenario
273,LOW,16,Public transport + 2 Vans - Uber/PickMe,936.81,0.53,204219.45,reference-derived scenario
274,MID,16,Public transport + 2 Vans - Uber/PickMe,101.1,0.527,22011.13,reference-derived scenario
275,MID,5,Van - Uber/PickMe,54.39,0.0,11313.21,reference-derived scenario
276,LOW,6,Public transport + Van - Uber/PickMe,571.28,0.782,36876.52,reference-derived scenario
277,MID,12,Van - Uber/PickMe,133.88,0.0,23307.41,reference-derived scenario
278,LOW,2,Public transport + Van - Uber/PickMe,499.24,0.541,43194.22,reference-derived scenario
279,LOW,2,Public transport + Van - Uber/PickMe,284.61,0.873,9888.18,reference-derived scenario
280,MID,3,Public transport + Minivan - Uber/PickMe,165.16,0.629,9485.01,reference-derived scenario
281,MID,1,Minivan - Uber/PickMe,135.31,0.0,15837.23,reference-derived scenario
282,LOW,5,Public transport + Van - Uber/PickMe,637.5,0.711,41868.94,reference-derived scenario
283,HIGH,20,Private driver + 2 Vans,930.56,0.0,304748.82,reference-derived scenario
284,HIGH,15,Public transport + Van - Uber/PickMe,710.46,0.909,62651.19,reference-derived scenario
285,HIGH,8,Van - Uber/PickMe,140.7,0.0,23888.6,reference-derived scenario
286,MID,3,Minivan - Uber/PickMe,853.09,0.0,110426.62,reference-derived scenario
287,MID,3,Public transport + Tuk/Taxi,181.28,0.666,6837.4,reference-derived scenario
288,HIGH,10,Public transport + Van - Uber/PickMe,568.34,0.813,40258.95,reference-derived scenario
289,LOW,18,Public transport + 2 Vans - Uber/PickMe,220.1,0.732,40032.24,reference-derived scenario
290,MID,7,Public transport + Minivan - Uber/PickMe,423.68,0.841,21253.18,reference-derived scenario
291,HIGH,17,Private driver + 2 Vans,92.42,0.0,31296.08,reference-derived scenario
292,MID,1,Public transport + Minivan - Uber/PickMe,233.38,0.872,5052.32,reference-derived scenario
293,LOW,5,Public transport + Van - Uber/PickMe,785.88,0.765,49277.03,reference-derived scenario
294,LOW,18,Public transport + 2 Vans - Uber/PickMe,8.59,0.86,4474.84,reference-derived scenario
295,MID,17,Public transport + 2 Vans - Uber/PickMe,336.56,0.448,78189.74,reference-derived scenario
296,LOW,15,Public transport + Van - Uber/PickMe,687.34,0.386,95232.0,reference-derived scenario
297,MID,11,Van - Uber/PickMe,750.86,0.0,131128.81,reference-derived scenario
298,MID,17,Public transport + 2 Vans - Uber/PickMe,708.44,0.485,172163.98,reference-derived scenario
