record_id,region,region_cost_index,budget_level,accommodation_type,travellers,rooms,nightly_price_lkr,data_origin
59,Southern Province,1.2,LOW,Homestay,16,8,6072.77,reference-derived scenario
60,Upcountry / Central Highlands,1.08,MID,Budget guesthouse,13,7,5888.33,reference-derived scenario
61,Western Province,1.18,LOW,Budget guesthouse,20,10,5747.36,reference-derived scenario
62,Northern Province,1.0,MID,Mid-range hotel / 3-star,7,4,17763.64,reference-derived scenario
63,Southern Province,1.2,MID,Boutique guesthouse,17,9,31231.25,reference-derived scenario
64,Uva Province,1.02,LOW,Homestay,12,6,4073.89,reference-derived scenario
65,Sabaragamuwa Province,1.0,LOW,Budget guesthouse,17,9,5961.51,reference-derived scenario
66,Uva Province,1.02,LOW,Budget guesthouse,2,1,5067.86,reference-derived scenario
67,Uva Province,1.02,LOW,Hostel / dorm,5,3,3017.73,reference-derived scenario
68,Eastern Province,1.02,LOW,Budget guesthouse,15,8,6159.41,reference-derived scenario
69,Cultural Triangle / North Central,1.05,MID,Mid-range villa,1,1,17392.71,reference-derived scenario
70,Western Province,1.18,MID,Mid-range hotel / 3-star,19,10,19279.08,reference-derived scenario
71,Western Province,1.18,LOW,Budget hotel / 1-2 star,14,7,9500.48,reference-derived scenario
72,North Western Province,1.03,MID,Mid-range hotel / 3-star,3,2,13187.69,reference-derived scenario
73,Western Province,1.18,MID,Boutique guesthouse,2,1,22235.1,reference-derived scenario
74,Upcountry / Central Highlands,1.08,LOW,Budget hotel / 1-2 star,14,7,10475.01,reference-derived scenario
75,Southern Province,1.2,HIGH,Mid-range hotel / 3-star,17,9,21161.05,reference-derived scenario
76,Eastern Province,1.02,LOW,Homestay,12,6,4940.28,reference-derived scenario
77,Uva Province,1.02,HIGH,Boutique guesthouse,13,7,26165.58,reference-derived scenario
78,Eastern Province,1.02,LOW,Hostel / dorm,13,7,2159.64,reference-derived scenario
79,Uva Province,1.02,MID,Hostel / dorm,7,4,2183.82,reference-derived scenario
80,Southern Province,1.2,LOW,Budget hotel / 1-2 star,1,1,11358.08,reference-derived scenario
81,Northern Province,1.0,MID,Budget guesthouse,18,9,5872.97,reference-derived scenario
82,North Western Province,1.03,LOW,Budget hotel / 1-2 star,6,3,8318.57,reference-derived scenario
83,Sabaragamuwa Province,1.0,LOW,Budget guesthouse,5,3,6366.78,reference-derived scenario
84,Western Province,1.18,LOW,Hostel / dorm,17,9,3371.15,reference-derived scenario
85,Eastern Province,1.02,MID,Serviced apartment,2,1,18879.39,reference-derived scenario
86,Northern Province,1.0,LOW,Homestay,1,1,3977.57,reference-derived scenario
87,Northern Province,1.0,LOW,Budget guesthouse,17,9,6507.55,reference-derived scenario
88,Eastern Province,1.02,LOW,Budget guesthouse,20,10,6765.55,reference-derived scenario
89,Southern Province,1.2,MID,Serviced apartment,6,3,20184.37,reference-derived scenario
90,Uva Province,1.02,LOW,Homestay,18,9,5399.45,reference-derived scenario
91,Northern Province,1.0,HIGH,Serviced apartment,11,6,19695.09,reference-derived scenario
92,Uva Province,1.02,HIGH,Boutique guesthouse,3,2,19693.18,reference-derived scenario
93,Uva Province,1.02,LOW,Homestay,19,10,3888.0,reference-derived scenario
94,Northern Province,1.0,MID,Homestay,12,6,4241.62,reference-derived scenario
95,Upcountry / Central Highlands,1.08,LOW,Homestay,6,3,4538.85,reference-derived scenario
96,Southern Province,1.2,LOW,Hostel / dorm,16,8,2807.13,reference-derived scenario
97,Cultural Triangle / North Central,1.05,HIGH,Private villa,18,9,64017.58,reference-derived scenario
98,North Western Province,1.03,MID,Hostel / dorm,10,5,3045.92,reference-derived scenario
99,Sabaragamuwa Province,1.0,LOW,Budget hotel / 1-2 star,19,10,8626.82,reference-derived scenario
100,Northern Province,1.0,LOW,Budget guesthouse,8,4,4721.29,reference-derived scenario
101,Upcountry / Central Highlands,1.08,MID,Boutique guesthouse,16,8,22885.46,reference-derived scenario
102,Cultural Triangle / North Central,1.05,MID,Budget guesthouse,17,9,5541.57,reference-derived scenario
103,Cultural Triangle / North Central,1.05,MID,Hostel / dorm,6,3,3119.01,reference-derived scenario
104,Upcountry / Central Highlands,1.08,MID,Homestay,6,3,5443.43,reference-derived scenario
105,Southern Province,1.2,LOW,Homestay,19,10,5067.74,reference-derived scenario
106,North Western Province,1.03,LOW,Budget guesthouse,7,4,5760.68,reference-derived scenario
107,Upcountry / Central Highlands,1.08,LOW,Budget hotel / 1-2 star,19,10,10257.98,reference-derived scenario
108,Northern Province,1.0,LOW,Budget guesthouse,9,5,6158.98,reference-derived scenario
109,Uva Province,1.02,MID,Budget hotel / 1-2 star,7,4,9731.19,reference-derived scenario
110,Southern Province,1.2,HIGH,Private villa,9,5,65612.97,reference-derived scenario
111,Eastern Province,1.02,MID,Hostel / dorm,15,8,2143.01,reference-derived scenario
112,Eastern Province,1.02,HIGH,Boutique guesthouse,6,3,23414.43,reference-derived scenario
113,Uva Province,1.02,LOW,Hostel / dorm,18,9,2883.26,reference-derived scenario
114,Sabaragamuwa Province,1.0,HIGH,Boutique guesthouse,10,5,24353.87,reference-derived scenario
115,North Western Province,1.03,LOW,Budget guesthouse,6,3,4668.66,reference-derived scenario
116,Uva Province,1.02,MID,Mid-range hotel / 3-star,6,3,14152.53,reference-derived scenario
117,North Western Province,1.03,LOW,Homestay,15,8,4190.36,reference-derived scenario
118,Sabaragamuwa Province,1.0,MID,Budget guesthouse,9,5,5056.97,reference-derived scenario
119,Northern Province,1.0,LOW,Hostel / dorm,8,4,2660.31,reference-derived scenario
120,Eastern Province,1.02,HIGH,Boutique hotel / villa,5,3,43309.23,reference-derived scenario
121,Western Province,1.18,MID,Budget hotel / 1-2 star,7,4,11438.01,reference-derived scenario
122,North Western Province,1.03,HIGH,Mid-range villa,13,7,18546.24,reference-derived scenario
123,Sabaragamuwa Province,1.0,LOW,Homestay,20,10,4295.01,reference-derived scenario
124,Sabaragamuwa Province,1.0,LOW,Homestay,7,4,4208.65,reference-derived scenario
125,Western Province,1.18,HIGH,Private villa,12,6,61809.75,reference-derived scenario
126,Southern Province,1.2,LOW,Budget guesthouse,12,6,5737.18,reference-derived scenario
127,Cultural Triangle / North Central,1.05,LOW,Budget hotel / 1-2 star,7,4,7292.42,reference-derived scenario
128,Northern Province,1.0,MID,Serviced apartment,16,8,20325.89,reference-derived scenario
129,Uva Province,1.02,LOW,Budget guesthouse,15,8,4616.3,reference-derived scenario
130,Southern Province,1.2,LOW,Budget hotel / 1-2 star,2,1,8059.86,reference-derived scenario
131,Western Province,1.18,MID,Budget guesthouse,10,5,6374.62,reference-derived scenario
132,Eastern Province,1.02,LOW,Homestay,5,3,4993.51,reference-derived scenario
133,Uva Province,1.02,HIGH,Mid-range hotel / 3-star,4,2,17958.7,reference-derived scenario
134,North Western Province,1.03,LOW,Homestay,20,10,4820.19,reference-derived scenario
135,North Western Province,1.03,HIGH,Boutique guesthouse,7,4,25626.9,reference-derived scenario
136,Sabaragamuwa Province,1.0,MID,Mid-range hotel / 3-star,2,1,15534.86,reference-derived scenario
137,Southern Province,1.2,MID,Budget guesthouse,13,7,6792.39,reference-derived scenario
138,Sabaragamuwa Province,1.0,MID,Mid-range villa,14,7,17414.58,reference-derived scenario
139,Upcountry / Central Highlands,1.08,MID,Serviced apartment,16,8,18860.77,reference-derived scenario
140,Uva Province,1.02,MID,Homestay,3,2,5233.48,reference-derived scenario
141,Sabaragamuwa Province,1.0,HIGH,Luxury / 5-star hotel,5,3,57450.43,reference-derived scenario
142,Uva Province,1.02,MID,Mid-range villa,11,6,21695.83,reference-derived scenario
143,Cultural Triangle / North Central,1.05,MID,Budget hotel / 1-2 star,2,1,7921.77,reference-derived scenario
144,Cultural Triangle / North Central,1.05,MID,Boutique guesthouse,13,7,26414.87,reference-derived scenario
145,Southern Province,1.2,MID,Hostel / dorm,12,6,2521.58,reference-derived scenario
146,Western Province,1.18,HIGH,Boutique guesthouse,4,2,21422.88,reference-derived scenario
147,Eastern Province,1.02,MID,Budget hotel / 1-2 star,13,7,6777.99,reference-derived scenario
148,Sabaragamuwa Province,1.0,MID,Hostel / dorm,2,1,2974.26,reference-derived scenario
149,Western Province,1.18,MID,Boutique guesthouse,3,2,22556.35,reference-derived scenario
150,Uva Province,1.02,MID,Homestay,17,9,4473.48,reference-derived scenario
151,Eastern Province,1.02,HIGH,Mid-range villa,9,5,20112.95,reference-derived scenario
152,Northern Province,1.0,LOW,Budget hotel / 1-2 star,19,10,6600.82,reference-derived scenario
153,North Western Province,1.03,MID,Mid-range villa,1,1,20481.85,reference-derived scenario
154,Sabaragamuwa Province,1.0,HIGH,Mid-range villa,11,6,17764.39,reference-derived scenario
155,North Western Province,1.03,MID,Homestay,12,6,4234.43,reference-derived scenario
156,Cultural Triangle / North Central,1.05,LOW,Hostel / dorm,15,8,2631.07,reference-derived scenario
157,Southern Province,1.2,LOW,Budget hotel / 1-2 star,17,9,9583.82,reference-derived scenario
158,Western Province,1.18,HIGH,Private villa,18,9,59857.51,reference-derived scenario
159,Upcountry / Central Highlands,1.08,MID,Mid-range villa,4,2,22370.46,reference-derived scenario
160,Uva Province,1.02,LOW,Budget guesthouse,11,6,5485.28,reference-derived scenario
161,Northern Province,1.0,MID,Budget guesthouse,1,1,5905.0,reference-derived scenario
162,Cultural Triangle / North Central,1.05,HIGH,Luxury / 5-star hotel,15,8,82269.87,reference-derived scenario
163,Southern Province,1.2,LOW,Hostel / dorm,15,8,2591.9,reference-derived scenario
164,Sabaragamuwa Province,1.0,LOW,Homestay,17,9,4856.84,reference-derived scenario
165,Northern Province,1.0,LOW,Budget hotel / 1-2 star,18,9,9600.29,reference-derived scenario
166,Sabaragamuwa Province,1.0,LOW,Budget guesthouse,15,8,4622.45,reference-derived scenario
167,Western Province,1.18,MID,Serviced apartment,11,6,18167.9,reference-derived scenario
168,Eastern Province,1.02,LOW,Hostel / dorm,3,2,2203.84,reference-derived scenario
169,North Western Province,1.03,LOW,Budget guesthouse,17,9,4662.67,reference-derived scenario
170,Southern Province,1.2,HIGH,Serviced apartment,19,10,23597.82,reference-derived scenario
171,Upcountry / Central Highlands,1.08,LOW,Budget guesthouse,9,5,6293.33,reference-derived scenario
172,Western Province,1.18,MID,Budget guesthouse,15,8,7199.45,reference-derived scenario
173,Eastern Province,1.02,LOW,Budget guesthouse,6,3,4753.64,reference-derived scenario
174,Uva Province,1.02,LOW,Hostel / dorm,18,9,2651.63,reference-derived scenario
175,Southern Province,1.2,MID,Hostel / dorm,16,8,3649.92,reference-derived scenario
176,Cultural Triangle / North Central,1.05,HIGH,Luxury / 5-star hotel,2,1,70612.4,reference-derived scenario
177,Eastern Province,1.02,MID,Serviced apartment,7,4,20488.13,reference-derived scenario
178,Uva Province,1.02,HIGH,Luxury resort,12,6,94906.41,reference-derived scenario
179,Sabaragamuwa Province,1.0,MID,Serviced apartment,6,3,16068.29,reference-derived scenario
180,Cultural Triangle / North Central,1.05,MID,Serviced apartment,12,6,19445.38,reference-derived scenario
181,Uva Province,1.02,MID,Budget guesthouse,13,7,6018.93,reference-derived scenario
182,Sabaragamuwa Province,1.0,MID,Boutique guesthouse,6,3,25157.83,reference-derived scenario
183,Northern Province,1.0,MID,Serviced apartment,15,8,21723.27,reference-derived scenario
184,Cultural Triangle / North Central,1.05,HIGH,Luxury / 5-star hotel,3,2,67500.17,reference-derived scenario
185,Cultural Triangle / North Central,1.05,MID,Homestay,4,2,5526.51,reference-derived scenario
186,Eastern Province,1.02,HIGH,Boutique hotel / villa,20,10,45974.95,reference-derived scenario
187,Western Province,1.18,MID,Budget guesthouse,11,6,7066.57,reference-derived scenario
188,Northern Province,1.0,HIGH,Private villa,19,10,71323.9,reference-derived scenario
189,North Western Province,1.03,HIGH,Luxury resort,1,1,82804.02,reference-derived scenario
190,Upcountry / Central Highlands,1.08,MID,Homestay,11,6,4423.35,reference-derived scenario
191,Upcountry / Central Highlands,1.08,HIGH,Private villa,1,1,71268.85,reference-derived scenario
192,Cultural Triangle / North Central,1.05,HIGH,Serviced apartment,6,3,19472.07,reference-derived scenario
193,Upcountry / Central Highlands,1.08,HIGH,Luxury / 5-star hotel,11,6,69982.31,reference-derived scenario
194,Sabaragamuwa Province,1.0,LOW,Homestay,10,5,4050.26,reference-derived scenario
195,Western Province,1.18,HIGH,Boutique hotel / villa,16,8,53692.95,reference-derived scenario
196,Western Province,1.18,HIGH,Serviced apartment,14,7,21915.85,reference-derived scenario
197,Northern Province,1.0,LOW,Hostel / dorm,8,4,2670.18,reference-derived scenario
198,Eastern Province,1.02,MID,Hostel / dorm,3,2,2509.37,reference-derived scenario
199,Uva Province,1.02,LOW,Budget hotel / 1-2 star,4,2,6787.85,reference-derived scenario
200,Northern Province,1.0,MID,Budget guesthouse,12,6,5383.87,reference-derived scenario
201,Sabaragamuwa Province,1.0,HIGH,Mid-range villa,4,2,21802.55,reference-derived scenario
202,Cultural Triangle / North Central,1.05,LOW,Budget guesthouse,6,3,6976.07,reference-derived scenario
203,Sabaragamuwa Province,1.0,HIGH,Private villa,7,4,66968.18,reference-derived scenario
204,Eastern Province,1.02,HIGH,Serviced apartment,9,5,18741.21,reference-derived scenario
205,Northern Province,1.0,LOW,Homestay,11,6,4252.82,reference-derived scenario
206,Western Province,1.18,LOW,Hostel / dorm,8,4,2875.23,reference-derived scenario
207,Uva Province,1.02,MID,Serviced apartment,20,10,17406.34,reference-derived scenario
208,Western Province,1.18,HIGH,Mid-range hotel / 3-star,13,7,15781.47,reference-derived scenario
209,Sabaragamuwa Province,1.0,LOW,Hostel / dorm,19,10,2248.32,reference-derived scenario
210,Cultural Triangle / North Central,1.05,LOW,Budget hotel / 1-2 star,19,10,8677.86,reference-derived scenario
211,Western Province,1.18,MID,Boutique guesthouse,17,9,30514.57,reference-derived scenario
212,Sabaragamuwa Province,1.0,LOW,Homestay,7,4,4145.12,reference-derived scenario
213,Western Province,1.18,MID,Mid-range hotel / 3-star,10,5,21059.55,reference-derived scenario
214,Cultural Triangle / North Central,1.05,HIGH,Mid-range hotel / 3-star,9,5,16290.34,reference-derived scenario
215,Southern Province,1.2,MID,Homestay,3,2,5121.32,reference-derived scenario
216,Uva Province,1.02,MID,Serviced apartment,1,1,16047.83,reference-derived scenario
217,Cultural Triangle / North Central,1.05,LOW,Hostel / dorm,4,2,2901.74,reference-derived scenario
218,Western Province,1.18,LOW,Hostel / dorm,1,1,3305.41,reference-derived scenario
219,Upcountry / Central Highlands,1.08,MID,Hostel / dorm,19,10,3271.34,reference-derived scenario
220,Uva Province,1.02,MID,Homestay,8,4,4177.55,reference-derived scenario
221,Western Province,1.18,LOW,Hostel / dorm,5,3,3006.98,reference-derived scenario
222,Sabaragamuwa Province,1.0,LOW,Homestay,7,4,3948.34,reference-derived scenario
223,Sabaragamuwa Province,1.0,MID,Hostel / dorm,8,4,2942.62,reference-derived scenario
224,Southern Province,1.2,LOW,Budget hotel / 1-2 star,19,10,9569.44,reference-derived scenario
225,Sabaragamuwa Province,1.0,LOW,Homestay,2,1,4327.83,reference-derived scenario
226,Eastern Province,1.02,HIGH,Luxury resort,7,4,74606.59,reference-derived scenario
227,Northern Province,1.0,LOW,Homestay,6,3,4252.66,reference-derived scenario
228,Eastern Province,1.02,MID,Hostel / dorm,11,6,2354.02,reference-derived scenario
229,Southern Province,1.2,HIGH,Luxury resort,16,8,85258.61,reference-derived scenario
230,Southern Province,1.2,MID,Budget hotel / 1-2 star,6,3,11482.86,reference-derived scenario
231,Southern Province,1.2,HIGH,Luxury / 5-star hotel,1,1,94122.81,reference-derived scenario
232,Eastern Province,1.02,MID,Hostel / dorm,10,5,2951.24,reference-derived scenario
233,Cultural Triangle / North Central,1.05,LOW,Budget hotel / 1-2 star,10,5,8490.89,reference-derived scenario
234,Southern Province,1.2,LOW,Budget guesthouse,3,2,7383.16,reference-derived scenario
235,Cultural Triangle / North Central,1.05,LOW,Homestay,19,10,5472.38,reference-derived scenario
236,Eastern Province,1.02,LOW,Budget guesthouse,5,3,5066.39,reference-derived scenario
237,Cultural Triangle / North Central,1.05,HIGH,Serviced apartment,19,10,16041.06,reference-derived scenario
238,Upcountry / Central Highlands,1.08,HIGH,Luxury / 5-star hotel,12,6,67274.58,reference-derived scenario
239,Cultural Triangle / North Central,1.05,LOW,Budget guesthouse,14,7,6238.31,reference-derived scenario
240,Uva Province,1.02,MID,Mid-range hotel / 3-star,6,3,12578.03,reference-derived scenario
241,Sabaragamuwa Province,1.0,LOW,Homestay,20,10,4730.83,reference-derived scenario
242,Western Province,1.18,MID,Boutique guesthouse,5,3,21982.9,reference-derived scenario
243,Uva Province,1.02,LOW,Budget hotel / 1-2 star,8,4,7696.4,reference-derived scenario
244,Western Province,1.18,LOW,Budget hotel / 1-2 star,5,3,9521.21,reference-derived scenario
245,Upcountry / Central Highlands,1.08,LOW,Budget guesthouse,11,6,5066.49,reference-derived scenario
246,Sabaragamuwa Province,1.0,MID,Serviced apartment,12,6,21731.84,reference-derived scenario
247,Upcountry / Central Highlands,1.08,LOW,Budget guesthouse,13,7,5451.11,reference-derived scenario
248,Uva Province,1.02,MID,Homestay,9,5,4801.47,reference-derived scenario
249,Upcountry / Central Highlands,1.08,MID,Budget guesthouse,12,6,6566.03,reference-derived scenario
250,Southern Province,1.2,HIGH,Private villa,7,4,68240.31,reference-derived scenario
251,Southern Province,1.2,HIGH,Serviced apartment,12,6,22635.65,reference-derived scenario
252,Upcountry / Central Highlands,1.08,MID,Budget hotel / 1-2 star,1,1,7562.68,reference-derived scenario
253,Western Province,1.18,LOW,Budget hotel / 1-2 star,8,4,11245.62,reference-derived scenario
254,Western Province,1.18,HIGH,Luxury / 5-star hotel,20,10,81616.06,reference-derived scenario
255,Southern Province,1.2,MID,Budget hotel / 1-2 star,2,1,9373.91,reference-derived scenario
256,Southern Province,1.2,LOW,Hostel / dorm,8,4,2992.63,reference-derived scenario
257,Eastern Province,1.02,LOW,Budget guesthouse,11,6,6213.39,reference-derived scenario
258,Cultural Triangle / North Central,1.05,MID,Serviced apartment,13,7,15863.85,reference-derived scenario
259,Eastern Province,1.02,HIGH,Serviced apartment,14,7,20188.75,reference-derived scenario
260,Sabaragamuwa Province,1.0,MID,Mid-range hotel / 3-star,14,7,18048.39,reference-derived scenario
261,Cultural Triangle / North Central,1.05,LOW,Hostel / dorm,18,9,2268.13,reference-derived scenario
262,Southern Province,1.2,LOW,Homestay,5,3,5888.96,reference-derived scenario
263,Southern Province,1.2,LOW,Budget guesthouse,9,5,6257.1,reference-derived scenario
264,Northern Province,1.0,LOW,Homestay,16,8,3886.51,reference-derived scenario
265,Eastern Province,1.02,LOW,Homestay,18,9,4044.3,reference-derived scenario
266,Sabaragamuwa Province,1.0,HIGH,Private villa,3,2,66278.85,reference-derived scenario
267,Cultural Triangle / North Central,1.05,MID,Budget guesthouse,14,7,6054.87,reference-derived scenario
268,Southern Province,1.2,LOW,Homestay,14,7,5595.49,reference-derived scenario
269,Upcountry / Central Highlands,1.08,LOW,Homestay,13,7,5019.68,reference-derived scenario
270,Eastern Province,1.02,LOW,Homestay,19,10,5139.14,reference-derived scenario
271,Western Province,1.18,MID,Budget guesthouse,17,9,6971.26,reference-derived scenario
272,Cultural Triangle / North Central,1.05,HIGH,Mid-range hotel / 3-star,4,2,19202.48,reference-derived scenario
273,Sabaragamuwa Province,1.0,MID,Budget hotel / 1-2 star,10,5,9427.47,reference-derived scenario
274,Sabaragamuwa Province,1.0,MID,Homestay,18,9,4787.09,reference-derived scenario
275,Western Province,1.18,HIGH,Luxury / 5-star hotel,5,3,84314.19,reference-derived scenario
276,Sabaragamuwa Province,1.0,HIGH,Private villa,18,9,65866.97,reference-derived scenario
277,Southern Province,1.2,LOW,Hostel / dorm,17,9,2638.0,reference-derived scenario
278,Northern Province,1.0,MID,Budget guesthouse,13,7,5233.15,reference-derived scenario
279,Eastern Province,1.02,LOW,Hostel / dorm,15,8,2749.06,reference-derived scenario
280,North Western Province,1.03,MID,Budget hotel / 1-2 star,19,10,6977.59,reference-derived scenario
281,Cultural Triangle / North Central,1.05,HIGH,Boutique guesthouse,5,3,22235.05,reference-derived scenario
282,North Western Province,1.03,LOW,Homestay,20,10,5229.52,reference-derived scenario
283,Southern Province,1.2,MID,Budget hotel / 1-2 star,8,4,11447.05,reference-derived scenario
284,Uva Province,1.02,HIGH,Luxury / 5-star hotel,1,1,73032.65,reference-derived scenario
285,North Western Province,1.03,MID,Budget hotel / 1-2 star,5,3,7967.91,reference-derived scenario
286,Uva Province,1.02,MID,Mid-range hotel / 3-star,15,8,13431.32,reference-derived scenario
287,North Western Province,1.03,MID,Homestay,1,1,5258.94,reference-derived scenario
288,Uva Province,1.02,LOW,Homestay,3,2,4876.18,reference-derived scenario
289,Northern Province,1.0,LOW,Homestay,5,3,5431.51,reference-derived scenario
290,Northern Province,1.0,LOW,Budget hotel / 1-2 star,4,2,8817.14,reference-derived scenario
291,Cultural Triangle / North Central,1.05,LOW,Homestay,1,1,4328.88,reference-derived scenario
292,North Western Province,1.03,LOW,Hostel / dorm,17,9,2342.44,reference-derived scenario
293,Northern Province,1.0,MID,Budget guesthouse,9,5,5514.63,reference-derived scenario
294,Cultural Triangle / North Central,1.05,HIGH,Boutique guesthouse,19,10,25884.93,reference-derived scenario
295,Sabaragamuwa Province,1.0,LOW,Budget guesthouse,3,2,5904.12,reference-derived scenario
296,Eastern Province,1.02,HIGH,Mid-range villa,10,5,19371.63,reference-derived scenario
297,Uva Province,1.02,MID,Budget guesthouse,9,5,5657.51,reference-derived scenario
298,Sabaragamuwa Province,1.0,HIGH,Luxury / 5-star hotel,20,10,65202.14,reference-derived scenario
299,Eastern Province,1.02,LOW,Homestay,15,8,4181.9,reference-derived scenario
300,Uva Province,1.02,LOW,Budget hotel / 1-2 star,7,4,7458.99,reference-derived scenario
301,Southern Province,1.2,LOW,Hostel / dorm,17,9,3583.38,reference-derived scenario
302,Sabaragamuwa Province,1.0,LOW,Homestay,15,8,3699.33,reference-derived scenario
303,Northern Province,1.0,MID,Budget hotel / 1-2 star,20,10,6652.83,reference-derived scenario
304,Southern Province,1.2,MID,Homestay,20,10,5550.11,reference-derived scenario
305,Northern Province,1.0,MID,Homestay,11,6,4921.64,reference-derived scenario
306,North Western Province,1.03,MID,Budget guesthouse,1,1,5313.61,reference-derived scenario
307,Southern Province,1.2,MID,Budget guesthouse,13,7,7548.91,reference-derived scenario
308,Sabaragamuwa Province,1.0,HIGH,Mid-range hotel / 3-star,4,2,17441.71,reference-derived scenario
