sourceReference	region	type	vehicleModel	serviceName	capacity	minimumFareLkr	perKmLkr	perPassenger	source	availabilityBasis
node/10287682609	Anuradhapura	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682609	Anuradhapura	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682609	Anuradhapura	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682609	Anuradhapura	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287682609	Anuradhapura	Train	Train	Northern Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/10287667411	Anuradhapura	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/10287667411	Anuradhapura	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667411	Anuradhapura	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667411	Anuradhapura	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667411	Anuradhapura	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667411	Anuradhapura	Train	Train	Northern Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/10287667410	Anuradhapura	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/10287667410	Anuradhapura	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667410	Anuradhapura	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667410	Anuradhapura	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667410	Anuradhapura	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10287667410	Anuradhapura	Train	Train	Northern Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/8463144620	Kandy	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/8463144620	Kandy	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144620	Kandy	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144620	Kandy	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144620	Kandy	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144620	Kandy	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/8463144621	Kandy	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/8463144621	Kandy	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144621	Kandy	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144621	Kandy	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144621	Kandy	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8463144621	Kandy	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/5167036321	Udawalawe	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/5167036321	Udawalawe	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036321	Udawalawe	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036321	Udawalawe	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036321	Udawalawe	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5413804741	Kitulgala	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/5413804741	Kitulgala	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5413804741	Kitulgala	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5413804741	Kitulgala	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5413804741	Kitulgala	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167165092	Anuradhapura	Train	Train	Northern Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/5167036323	Ella	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/5167036323	Ella	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036323	Ella	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036323	Ella	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036323	Ella	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5167036323	Ella	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/6852252385	Mirissa / Weligama	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/6852252385	Mirissa / Weligama	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6852252385	Mirissa / Weligama	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6852252385	Mirissa / Weligama	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6852252385	Mirissa / Weligama	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6852252385	Mirissa / Weligama	Train	Train	Coast Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/5172591871	Ella	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/5172591871	Ella	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5172591871	Ella	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5172591871	Ella	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5172591871	Ella	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/5172591871	Ella	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/7194686985	Sigiriya / Dambulla	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/7194686985	Sigiriya / Dambulla	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7194686985	Sigiriya / Dambulla	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7194686985	Sigiriya / Dambulla	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7194686985	Sigiriya / Dambulla	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10567157067	Ella	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/10567157067	Ella	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10567157067	Ella	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10567157067	Ella	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10567157067	Ella	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10567157067	Ella	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/12629721602	Nuwara Eliya	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/12629721602	Nuwara Eliya	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721602	Nuwara Eliya	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721602	Nuwara Eliya	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721602	Nuwara Eliya	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721602	Nuwara Eliya	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/7462987755	Trincomalee	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/7462987755	Trincomalee	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7462987755	Trincomalee	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7462987755	Trincomalee	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7462987755	Trincomalee	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7462987755	Trincomalee	Train	Train	Trincomalee Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/4157023134	Kandy	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/4157023134	Kandy	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4157023134	Kandy	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4157023134	Kandy	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4157023134	Kandy	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4157023134	Kandy	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/6347257886	Kitulgala	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/6347257886	Kitulgala	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6347257886	Kitulgala	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6347257886	Kitulgala	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6347257886	Kitulgala	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6241503885	Kitulgala	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/6241503885	Kitulgala	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6241503885	Kitulgala	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6241503885	Kitulgala	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/6241503885	Kitulgala	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7684607839	Haputale	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/12061825773	Kandy	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/12061825773	Kandy	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12061825773	Kandy	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12061825773	Kandy	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12061825773	Kandy	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12061825773	Kandy	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/4472247508	Kandy	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/4472247508	Kandy	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4472247508	Kandy	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4472247508	Kandy	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4472247508	Kandy	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/4472247508	Kandy	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/12992062699	Kalpitiya	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/12992062699	Kalpitiya	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12992062699	Kalpitiya	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12992062699	Kalpitiya	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12992062699	Kalpitiya	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12992062699	Kalpitiya	Train	Train	Puttalam Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/8506615202	Kitulgala	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/8506615202	Kitulgala	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8506615202	Kitulgala	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8506615202	Kitulgala	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/8506615202	Kitulgala	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/10779286306	Mirissa / Weligama	Train	Train	Coast Line service where scheduled	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/12629721901	Haputale	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/12629721901	Haputale	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721901	Haputale	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721901	Haputale	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721901	Haputale	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/12629721901	Haputale	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/11117374581	Ella	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/11117374581	Ella	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/11117374581	Ella	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/11117374581	Ella	Minivan	Minivan	PickMe / Uber-type ride	7	800	120	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/11117374581	Ella	Van	Van	PickMe / Uber-type ride	15	1500	175	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/11117374581	Ella	Train	Train	Main Line (Udarata Menike / Podi Menike where scheduled)	500	50	4	true	SRI_LANKA_RAILWAYS	CORRIDOR_MATCH_CONFIRM_SCHEDULE
node/7114095185	Yala / Tissamaharama	Bus	Public bus	Intercity / SLTB / private bus	45	40	6.5	true	NTC_FARE_POLICY	MODELED_FOR_DESTINATION
node/7114095185	Yala / Tissamaharama	Tuk Tuk	Tuk Tuk	PickMe / Uber-type ride	3	200	80	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
node/7114095185	Yala / Tissamaharama	Car	Car	PickMe / Uber-type ride	4	450	97.5	false	USER_PLANNING_ASSUMPTION	MODELED_FOR_DESTINATION
